S.No,Headline,Source,Link,Category,Cleaned_Text,Sentiment
17,India's forest cover expanded by mere 2.5% in 10 yrs but 'very dense' cover grew 22.7%,TOI,https://timesofindia.indiatimes.com/india/indias-forest-cover-expanded-by-mere-2-5-in-10-yrs-but-very-dense-cover-grew-22-7/articleshow/124138513.cms,India,indias forest cover expanded mere yrs dense cover grew,Negative
18,"Ensure day-to-day trials in criminal cases, SC tells HCs",TOI,https://timesofindia.indiatimes.com/india/ensure-day-to-day-trials-in-criminal-cases-sc-tells-hcs/articleshow/124138458.cms,India,ensure daytoday trials criminal cases tells hcs,Negative
19,"On 80-yr-old's plea, SC orders eviction of his 61-yr-old son",TOI,https://timesofindia.indiatimes.com/india/on-80-yr-olds-plea-sc-orders-eviction-of-his-61-yr-old-son/articleshow/124138246.cms,India,yrolds plea orders eviction yrold son,Neutral
20,"School dropout rates halved in 2 years, says govt report",TOI,https://timesofindia.indiatimes.com/india/school-dropout-rates-halved-in-2-years-says-govt-report/articleshow/124138112.cms,India,school dropout rates halved years says govt report,Neutral
21,“They didn’t want a Black character”: Dwyane Wade's wife Gabrielle Union opens up about being rejected from a movie due to her ethnicity,TOI,https://timesofindia.indiatimes.com/sports/nba/top-stories/they-didnt-want-a-black-character-dwyane-wades-wife-gabrielle-union-opens-up-about-being-rejected-from-a-movie-due-to-her-ethnicity/articleshow/124095651.cms,World,didnt want black character dwyane wades wife gabrielle union opens rejected movie due ethnicity,Negative
22,Trump's TikTok deal: Oracle and Silver Lake to lead US takeover of TikTok; all you need to know,TOI,https://timesofindia.indiatimes.com/world/us/trumps-tiktok-deal-oracle-and-silver-lake-to-lead-us-takeover-of-tiktok-all-you-need-to-know/articleshow/124153725.cms,World,trumps tiktok deal oracle silver lake lead takeover tiktok need know,Neutral
23,Ukrainian YouTuber arrested in Japan over Fukushima livestream,TOI,https://timesofindia.indiatimes.com/world/rest-of-world/ukrainian-youtuber-arrested-in-japan-over-fukushima-livestream/articleshow/124153132.cms,World,ukrainian youtuber arrested japan fukushima livestream,Neutral
24,"Top 10 US billionaires leading charity and philanthropy efforts in 2025: Warrant Buffet, Bill Gates, Mark Zuckerberg and others",TOI,https://timesofindia.indiatimes.com/world/us/top-10-us-billionaires-leading-charity-and-philanthropy-efforts-in-2025-warrant-buffet-bill-gates-mark-zuckerberg-and-others/articleshow/124152613.cms,World,top billionaires leading charity philanthropy efforts warrant buffet bill gates mark zuckerberg others,Positive
25,"Productive Families in UAE to get full employment benefits including salaries, insurance, and pension",TOI,https://timesofindia.indiatimes.com/world/middle-east/productive-families-in-uae-to-get-full-employment-benefits-including-salaries-insurance-and-pension/articleshow/124149733.cms,World,productive families uae get full employment benefits including salaries insurance pension,Positive
26,UAE bans AI generated images of national figures and symbols without official approval,TOI,https://timesofindia.indiatimes.com/world/middle-east/uae-bans-ai-generated-images-of-national-figures-and-symbols-without-official-approval/articleshow/124152113.cms,World,uae bans generated images national figures symbols without official approval,Neutral
27,Dhanteras 2025 Shubh Muhurat: When is the most auspicious time to buy Gold in UAE?,TOI,https://timesofindia.indiatimes.com/world/middle-east/dhanteras-2025-shubh-muhurat-when-is-the-most-auspicious-time-to-buy-gold-in-uae/articleshow/124150623.cms,World,dhanteras shubh muhurat auspicious time buy gold uae,Neutral
28,"Who is ‘La Diabla’? Woman harvest organs from pregnant women and sell newborns to US couples for $14,000 each",TOI,https://timesofindia.indiatimes.com/world/us/who-is-la-diabla-woman-harvest-organs-from-pregnant-women-and-sell-newborns-to-us-couples-for-14000-each/articleshow/124152009.cms,World,diabla woman harvest organs pregnant women sell newborns couples,Positive
29,Cheating scandal fallout: Mikie Sherrill blocked from Naval Academy ceremony,TOI,https://timesofindia.indiatimes.com/world/us/cheating-scandal-fallout-democratic-hopeful-mikie-sherrill-blocked-from-naval-academy-ceremony-records-leak-sparks-outrage/articleshow/124149635.cms,World,cheating scandal fallout mikie sherrill blocked naval academy ceremony,Neutral
30,'Averted catastrophe': Pakistan PM hails Trump as ‘man of peace; all that unfolded in their meeting,TOI,https://timesofindia.indiatimes.com/world/pakistan/averted-catastrophe-pakistan-pm-hails-trump-as-man-of-peace-all-that-unfolded-in-their-meeting/articleshow/124147622.cms,World,averted catastrophe pakistan hails trump man peace unfolded meeting,Neutral
31,"Donald Trump takes dig at Ilhan Omar: 'I asked Somali president to take her back, he refused'",TOI,https://timesofindia.indiatimes.com/world/us/donald-trump-takes-dig-at-ilhan-omar-i-asked-somali-president-to-take-her-back-he-refused/articleshow/124148757.cms,World,donald trump takes dig ilhan omar asked somali president take back refused,Neutral
32,UAE: Sharjah extradites Uzbek and Nepalese nationals wanted for fraud under Interpol Red Notices,TOI,https://timesofindia.indiatimes.com/world/middle-east/uae-sharjah-extradites-uzbek-and-nepalese-nationals-wanted-for-fraud-under-interpol-red-notices/articleshow/124145216.cms,World,uae sharjah extradites uzbek nepalese nationals wanted fraud interpol red notices,Neutral
33,Canadian shot in Wisconsin: Tourist Giovanni Michael killed on golf trip while walking to hotel,TOI,https://timesofindia.indiatimes.com/world/us/canadian-shot-in-wisconsin-tourist-giovanni-michael-mike-robinson-killed-on-golf-trip-while-walking-to-hotel-hunt-on-for-suv-driver/articleshow/124146588.cms,World,canadian shot wisconsin tourist giovanni michael killed golf trip walking hotel,Negative
34,"'Maybe somewhere in Oval Office': Did Trump keep Pakistan PM, army chief waiting - watch what he said",TOI,https://timesofindia.indiatimes.com/world/us/maybe-somewhere-in-oval-office-did-trump-keep-pakistan-pm-army-chief-waiting-watch-what-he-said/articleshow/124144481.cms,World,maybe somewhere oval office trump keep pakistan army chief waiting watch said,Neutral
35,Another tropical storm causes 4 deaths and new evacuations in Philippines,TOI,https://timesofindia.indiatimes.com/world/rest-of-world/another-tropical-storm-causes-4-deaths-and-new-evacuations-in-philippines/articleshow/124145281.cms,World,another tropical storm causes deaths new evacuations philippines,Positive
36,"Obsessed with weed: Anti-ICE shooter hated US govt, targeted federal agents",TOI,https://timesofindia.indiatimes.com/world/us/obsessed-with-weed-anti-ice-shooter-hated-us-govt-targeted-federal-agents-ex-boss-officials-reveal-details/articleshow/124144483.cms,World,obsessed weed antiice shooter hated govt targeted federal agents,Negative
37,Hong Kong lawmakers pass bill to ban substandard tiny apartments,TOI,https://timesofindia.indiatimes.com/world/china/hong-kong-lawmakers-pass-bill-to-ban-substandard-tiny-apartments/articleshow/124144002.cms,World,hong kong lawmakers pass bill ban substandard tiny apartments,Neutral
38,‘General Squid Games’: Pete Hegseth summons military top brass — triggers anxiety in DC,TOI,https://timesofindia.indiatimes.com/world/us/general-squid-games-pete-hegseth-summons-military-top-brass-triggers-anxiety-in-dc/articleshow/124143325.cms,World,general squid games pete hegseth summons military top brass triggers anxiety,Positive
39,Execution by nitrogen gas & lethal injection: Texas and Alabama carry out two deaths,TOI,https://timesofindia.indiatimes.com/world/us/execution-by-nitrogen-gas-lethal-injection-used-texas-and-alabama-carry-out-two-deaths-nine-more-scheduled-this-year/articleshow/124141351.cms,World,execution nitrogen gas lethal injection texas alabama carry two deaths,Neutral
40,Phoenix-area shooting spree: Arizona man convicted of eight murders - All you need to know,TOI,https://timesofindia.indiatimes.com/world/us/phoenix-area-shooting-spree-arizona-man-convicted-of-eight-murders-all-you-need-to-know/articleshow/124140232.cms,World,phoenixarea shooting spree arizona man convicted eight murders need know,Neutral
41,"Lollapalooza effect! India's consumption spending set to soar: Policy trifecta of GST, tax, and rate cuts to fuel Rs 3 lakh crore surge",TOI,https://timesofindia.indiatimes.com/business/india-business/lollapalooza-effect-indias-consumption-spending-set-to-soar-policy-trifecta-of-gst-tax-and-rate-cuts-to-fuel-rs-3-lakh-crore-surge/articleshow/124155996.cms,Business,lollapalooza effect indias consumption spending set soar policy trifecta gst tax rate cuts fuel lakh crore surge,Neutral
42,India-US trade deal: Commerce Ministry shares update on Piyush Goyal’s visit; says aim to ‘achieve early conclusion’,TOI,https://timesofindia.indiatimes.com/business/india-business/india-us-trade-deal-commerce-ministry-shares-update-on-piyush-goyals-visit-says-aim-to-achieve-early-conclusion/articleshow/124154344.cms,Business,indiaus trade deal commerce ministry shares update piyush goyals visit says aim achieve early conclusion,Positive
43,"Reducing Russian crude imports: India wants US to allow oil from Iran, Venezuela; 25% penal tariffs in focus",TOI,https://timesofindia.indiatimes.com/business/india-business/reducing-russian-crude-imports-india-wants-us-to-allow-oil-from-iran-venezuela-25-penal-tariffs-in-focus/articleshow/124143600.cms,Business,reducing russian crude imports india wants allow oil iran venezuela penal tariffs focus,Negative
44,Rare earth elements: President Murmu says India must become self-reliant; ‘important for ensuring national security’,TOI,https://timesofindia.indiatimes.com/business/india-business/rare-earth-elements-president-murmu-says-india-must-become-self-reliant-important-for-ensuring-national-security/articleshow/124153727.cms,Business,rare earth elements president murmu says india must become selfreliant important ensuring national security,Positive
45,Boost for IAF! HAL looks to secure billion-dollar GE engine deal for LCA Tejas Mk1A; India-US defence ties in focus,TOI,https://timesofindia.indiatimes.com/business/india-business/boost-for-iaf-hal-looks-to-secure-billion-dollar-ge-engine-deal-for-lca-tejas-mk1a-india-us-defence-ties-in-focus/articleshow/124152977.cms,Business,boost iaf hal looks secure billiondollar engine deal lca tejas mka indiaus defence ties focus,Positive
46,Trump’s 100% tariffs on branded drugs: Which Indian pharma stocks are most vulnerable? Experts weigh in,TOI,https://timesofindia.indiatimes.com/business/india-business/trumps-100-tariffs-on-branded-drugs-which-indian-pharma-stocks-sun-pharma-cipla-dr-reddys-are-most-vulnerable-experts-weigh-in/articleshow/124150585.cms,Business,trumps tariffs branded drugs indian pharma stocks vulnerable experts weigh,Negative
47,"Indian Railways revises contract conditions: Introduces localisation, price variation clauses; compliance with GST norms in focus",TOI,https://timesofindia.indiatimes.com/business/infrastructure/indian-railways-revises-contract-conditions-introduces-localisation-price-variation-clauses-compliance-with-gst-norms-in-focus/articleshow/124150486.cms,Business,indian railways revises contract conditions introduces localisation price variation clauses compliance gst norms focus,Neutral
48,Asian drug market stocks slides: Trump’s 100% pharmaceutical tariffs shake market; broader impact on Japan likely minimal,TOI,https://timesofindia.indiatimes.com/business/international-business/asian-drug-market-stocks-slides-trumps-100-pharmaceutical-tariffs-shake-market-broader-impact-on-japan-likely-minimal/articleshow/124149791.cms,Business,asian drug market stocks slides trumps pharmaceutical tariffs shake market broader impact japan likely minimal,Negative
49,"Unclaimed money in mutual funds shot up 20% in 2024-25: Over Rs 3,400 crore of unclaimed dividend, redemptions lying with MFs, says SEBI",TOI,https://timesofindia.indiatimes.com/business/financial-literacy/investing/unclaimed-money-in-mutual-funds-shot-up-20-in-2024-25-over-rs-3400-crore-of-unclaimed-dividend-redemptions-lying-with-mfs-says-sebi/articleshow/124148412.cms,Business,unclaimed money mutual funds shot crore unclaimed dividend redemptions lying mfs says sebi,Neutral
50,"Gold price prediction: What's the outlook for September 26, 2025? Why a ‘sell on rise’ strategy makes sense",TOI,https://timesofindia.indiatimes.com/business/india-business/gold-price-prediction-today-what-is-the-gold-rate-outlook-for-september-26-2025-should-you-buy-or-sell-mcx-gold/articleshow/124147629.cms,Business,gold price prediction whats outlook september sell rise strategy makes sense,Neutral
51,"Asian markets drop as Trump unveils new tariffs: Pharmaceutical and Biotech stocks hit; oil, gold prices climb",TOI,https://timesofindia.indiatimes.com/business/international-business/asian-markets-drop-as-trump-unveils-new-tariffs-pharmaceutical-and-biotech-stocks-hit-oil-gold-prices-climb/articleshow/124147209.cms,Business,asian markets drop trump unveils new tariffs pharmaceutical biotech stocks hit oil gold prices climb,Positive
52,"Trump’s 100% tariffs on pharma: Sun Pharma, Biocon, Cipla & other pharmaceutical stocks tank; jitters on D-Street",TOI,https://timesofindia.indiatimes.com/business/india-business/trumps-100-tariffs-on-pharma-sun-pharma-biocon-cipla-other-pharmaceutical-stocks-tank-jitters-on-d-street/articleshow/124144816.cms,Business,trumps tariffs pharma sun pharma biocon cipla pharmaceutical stocks tank jitters dstreet,Neutral
53,"Stock market crash today: Nifty50 ends below 24,700; BSE Sensex down over 700 points - top 5 reasons for market fall",TOI,https://timesofindia.indiatimes.com/business/india-business/stock-market-today-nifty50-bse-sensex-september-26-2025-donald-trump-pharma-tariffs-h-1b-visa-fee-india-us-trade-deal/articleshow/124142314.cms,Business,stock market crash today nifty ends bse sensex points top reasons market fall,Positive
54,"Top stocks to buy today: Stock recommendations for September 26, 2025 - check list",TOI,https://timesofindia.indiatimes.com/business/india-business/top-stock-recommendations-for-september-26-2025-sagility-hindustan-zinc-bank-stocks-to-buy-today/articleshow/124141962.cms,Business,top stocks buy today stock recommendations september check list,Positive
55,Buy or sell: Stock recommendation by brokers for September 26,TOI,https://timesofindia.indiatimes.com/business/india-business/buy-or-sell-stock-recommendation-by-brokers-for-september-26/articleshow/124140804.cms,Business,buy sell stock recommendation brokers september,Neutral
56,"100% on pharma products, 50% on kitchen cabinets: Donald Trump announces series of tariffs - check list",TOI,https://timesofindia.indiatimes.com/business/international-business/100-on-pharma-products-50-on-kitchen-cabinets-donald-trump-announces-series-of-tariffs-check-list/articleshow/124139304.cms,Business,pharma products kitchen cabinets donald trump announces series tariffs check list,Neutral
57,"'Logistics cost at 8% of GDP, more burden on small cos'",TOI,https://timesofindia.indiatimes.com/business/india-business/logistics-cost-at-8-of-gdp-more-burden-on-small-cos/articleshow/124137055.cms,Business,logistics cost gdp burden small cos,Negative
58,Just 5% of US staff on H-1B visas: Accenture,TOI,https://timesofindia.indiatimes.com/business/india-business/just-5-of-us-staff-on-h-1b-visas-accenture/articleshow/124136460.cms,Business,staff visas accenture,Neutral
59,Rupee invoicing picking up in Middle East: StanChart's Singh,TOI,https://timesofindia.indiatimes.com/business/india-business/rupee-invoicing-picking-up-in-middle-east-stancharts-singh/articleshow/124135759.cms,Business,rupee invoicing picking middle east stancharts singh,Neutral
60,"Step up lending for public infra, MSMEs: FM Sitharaman to banks",TOI,https://timesofindia.indiatimes.com/business/india-business/step-up-lending-for-public-infra-msmes-fm-sitharaman-to-banks/articleshow/124134833.cms,Business,step lending public infra msmes sitharaman banks,Neutral
61,'If Pakistan get Abhishek Bachchan out early': Akhtar's masterplan for India,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/if-pakistan-get-abhishek-bachchan-out-early-on-shoaib-akhtars-masterplan-for-asia-cup-final-against-india-goes-viral/articleshow/124154957.cms,Sports,pakistan get abhishek bachchan early akhtars masterplan india,Positive
62,War of words! Kaif responds to Jasprit Bumrah: 'Take it as a.. ',TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/war-of-words-mohammad-kaif-responds-to-jasprit-bumrah-take-it-as-a-/articleshow/124154144.cms,Sports,war words kaif responds jasprit bumrah take,Neutral
63,"Rahul helps India A create history, register highest successful chase ever",TOI,https://timesofindia.indiatimes.com/sports/cricket/news/kl-rahuls-176-helps-india-a-create-history-register-highest-successful-chase-ever-against-australia-a/articleshow/124155382.cms,Sports,rahul helps india create history register highest successful chase ever,Positive
64,"Bangladesh paid the price vs Pakistan, will India regret catches dropped next?",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/bangladesh-paid-the-price-vs-pakistan-will-india-regret-catches-dropped-next/articleshow/124152088.cms,Sports,bangladesh paid price pakistan india regret catches dropped next,Neutral
65,Usain Bolt reveals cricket inspired his sprinting success: 'I was a huge fan',TOI,https://timesofindia.indiatimes.com/sports/cricket/news/usain-bolt-reveals-cricket-inspired-his-sprinting-success-i-was-a-huge-fan/articleshow/124156846.cms,Sports,usain bolt reveals cricket inspired sprinting success huge fan,Positive
66,In dire need of runs: Suryakumar Yadav's poor form a big concern for India,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/in-dire-need-of-runs-suryakumar-yadavs-poor-form-a-big-concern-for-india-in-asia-cup/articleshow/124143926.cms,Sports,dire need runs suryakumar yadavs poor form big concern india,Negative
67,Pakistan coach fires stern warning to India before Asia Cup final clash in Dubai,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/pakistan-coach-fires-stern-warning-to-india-before-asia-cup-final-clash-in-dubai/articleshow/124137757.cms,Sports,pakistan coach fires stern warning india asia cup final clash dubai,Neutral
68,'Pata chal raha hai...': Pathan roasts Pakistan's fielding - video,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/pata-chal-raha-hai-pakistan-is-fielding-irfan-pathan-roasts-men-in-green-for-shambolic-effort-video/articleshow/124146978.cms,Sports,pata chal raha hai pathan roasts pakistans fielding video,Neutral
69,Massive statement! Pakistan captain Salman Ali drops bombshell on India ahead of Asia Cup final,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/massive-statement-pakistan-captain-salman-ali-agha-drops-bombshell-on-india-ahead-of-asia-cup-final/articleshow/124138053.cms,Sports,massive statement pakistan captain salman ali drops bombshell india ahead asia cup final,Neutral
70,STAT CHECK: What is India's record vs Pakistan in tournament finals?,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/india-have-a-disappointing-record-against-pakistan-in-tournament-finals/articleshow/124141949.cms,Sports,stat check indias record pakistan tournament finals,Neutral
71,'Mark my words': Akhtar tells Pakistan how to beat India in Asia Cup final,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/mark-my-words-shoaib-akhtar-tells-pakistan-how-to-beat-india-in-asia-cup-final/articleshow/124143541.cms,Sports,mark words akhtar tells pakistan beat india asia cup final,Neutral
72,'Alimony claims are false': Dhanashree breaks silence on her divorce from Chahal,TOI,https://timesofindia.indiatimes.com/sports/off-the-field/alimony-claims-are-false-dhanashree-verma-breaks-silence-on-her-divorce-from-yuzvendra-chahal/articleshow/124150681.cms,Sports,alimony claims false dhanashree breaks silence divorce chahal,Negative
73,Big relief for India: Pacer Arundhati Reddy is 'fit & fine',TOI,https://timesofindia.indiatimes.com/sports/cricket/news/big-relief-for-india-pacer-arundhati-reddy-is-fit-fine/articleshow/124151655.cms,Sports,big relief india pacer arundhati reddy fit fine,Positive
74,'Tests your nerves': R Praggnanandhaa plays jenga with friends to unwind - watch,TOI,https://timesofindia.indiatimes.com/sports/chess/tests-your-nerves-r-praggnanandhaa-plays-jenga-with-friends-to-unwind-watch/articleshow/124148780.cms,Sports,tests nerves praggnanandhaa plays jenga friends unwind watch,Neutral
75,"Vaibhav Suryavanshi smashes two sixes, but shocking dismissal stuns fans vs Australia U19",TOI,https://timesofindia.indiatimes.com/sports/cricket/news/vaibhav-suryavanshi-smashes-two-sixes-but-shocking-dismissal-stuns-fans-vs-australia-u19/articleshow/124146794.cms,Sports,vaibhav suryavanshi smashes two sixes shocking dismissal stuns fans australia,Negative
76,"IND vs WI: Star pacer ruled out of Test series, replacement announced",TOI,https://timesofindia.indiatimes.com/sports/cricket/india-vs-west-indies/ind-vs-wi-star-pacer-ruled-out-of-test-series-replacement-announced/articleshow/124147007.cms,Sports,ind star pacer ruled test series replacement announced,Neutral
77,'India ko chhodna nahi' – Pakistani fan goes viral shaking hands with Haris Rauf ahead of Asia Cup final,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/india-ko-chhodna-nahi-pakistani-fan-goes-viral-shaking-hands-with-haris-rauf-ahead-of-asia-cup-final/articleshow/124138987.cms,Sports,india chhodna nahi pakistani fan goes viral shaking hands haris rauf ahead asia cup final,Neutral
78,"Renewed focus, new variations, Morkel’s support: How Dube stepped up as a bowler",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/renewed-focus-new-variations-morne-morkels-support-how-shivam-dube-stepped-up-as-a-bowler/articleshow/124143473.cms,Sports,renewed focus new variations morkels support dube stepped bowler,Positive
79,MLS: Inter Miami midfielder Busquets announces retirement date,TOI,https://timesofindia.indiatimes.com/sports/football/top-stories/major-league-soccer-sergio-busquets-announces-retirement-date/articleshow/124145682.cms,Sports,mls inter miami midfielder busquets announces retirement date,Neutral
80,UFC at White House: Conor McGregor lists shocking demands for fight,TOI,https://timesofindia.indiatimes.com/sports/more-sports/others/ufc-at-white-house-conor-mcgregor-lists-shocking-demands-for-fight/articleshow/124144964.cms,Sports,ufc white house conor mcgregor lists shocking demands fight,Negative
81,Kannada writer S.L. Bhyrappa cremated with State honours in Mysuru,Hindu,https://www.thehindu.com/news/national/karnataka/kannada-writer-sl-bhyrappa-cremated-with-state-honours-in-mysuru/article70097265.ece,National,kannada writer bhyrappa cremated state honours mysuru,Neutral
82,"Karnataka CM instructs DCs, CEOs, enumerators to expedite Social and Educational Survey, rules out extension of deadline",Hindu,https://www.thehindu.com/news/national/karnataka/karnataka-cm-instructs-dcs-ceos-enumerators-to-expedite-social-and-educational-survey-rules-out-extension-of-deadline/article70097310.ece,National,karnataka instructs dcs ceos enumerators expedite social educational survey rules extension deadline,Positive
83,Watch: India is the now fifth country to produce and manufacture telecom equipment: Scindia,Hindu,https://www.thehindu.com/shorts/watch-india-is-the-now-fifth-country-to-produce-and-manufacture-telecom-equipment-scindia/article70097486.ece,National,watch india fifth country produce manufacture telecom equipment scindia,Neutral
84,Congress demands Palaniswami’s apology for remarks against TNCC president,Hindu,https://www.thehindu.com/news/national/tamil-nadu/congress-demands-palaniswamis-apology-for-remarks-against-tncc-president/article70097312.ece,National,congress demands palaniswamis apology remarks tncc president,Neutral
85,No action against IAS officer Smita Sabharwal till October 7: Telangana HC,Hindu,https://www.thehindu.com/news/national/telangana/no-action-against-ias-officer-smita-sabharwal-till-october-7-telangana-hc/article70093764.ece,National,action ias officer smita sabharwal till october telangana,Positive
86,Climate activist Sonam Wangchuk arrested in Leh,Hindu,https://www.thehindu.com/news/national/ladakh/climate-activist-sonam-wangchuk-arrested-in-leh/article70097428.ece,National,climate activist sonam wangchuk arrested leh,Neutral
87,Odonate survey finds 5 new species in Thiruvananthapuram division,Hindu,https://www.thehindu.com/news/national/kerala/odonate-survey-finds-5-new-species-in-thiruvananthapuram-division/article70093978.ece,National,odonate survey finds new species thiruvananthapuram division,Positive
88,NIA invokes UAPA against father-son Maoist duo in Chhattisgarh BJP leader’s murder case,Hindu,https://www.thehindu.com/news/national/chhattisgarh/nia-invokes-uapa-against-father-son-maoist-duo-in-chhattisgarh-bjp-leaders-murder-case/article70097185.ece,National,nia invokes uapa fatherson maoist duo chhattisgarh bjp leaders murder case,Neutral
89,"DMK obsessed with publicity, ignoring noon meal scheme issues: Nainar Nagenthran",Hindu,https://www.thehindu.com/news/national/tamil-nadu/dmk-obsessed-with-publicity-ignoring-noon-meal-scheme-issues-nainar-nagenthran/article70097298.ece,National,dmk obsessed publicity ignoring noon meal scheme issues nainar nagenthran,Negative
