S.No,Headline,Source,Link,Category
34,Do you require International Driving Permit (IDP) to drive or rent a car in UAE? Here's what to know,TOI,https://timesofindia.indiatimes.com/world/middle-east/do-you-require-international-driving-permit-idp-to-drive-or-rent-a-car-in-uae-heres-what-to-know/articleshow/123989815.cms,World
35,Landmark ruling: BAPS welcomes DOJ decision to close investigation of Akshardham temple in New Jersey; full statement,TOI,https://timesofindia.indiatimes.com/world/us/truth-will-prevail-hindu-group-welcomes-doj-move-to-close-alleged-discrimination-in-temple-probe/articleshow/123989876.cms,World
36,Chilling! Did Tyler Robinson go to Dairy Queen right after killing Charlie Kirk?,TOI,https://timesofindia.indiatimes.com/world/us/chilling-did-tyler-robinson-go-to-dairy-queen-right-after-killing-charlie-kirk-candace-owens-floats-wild-theory/articleshow/123989927.cms,World
37,‘Christy Renee Trump?’ Woman arrested for trespassing at Donald Trump’s Mar-a-Lago estate; claims to be his wife,TOI,https://timesofindia.indiatimes.com/world/us/christy-renee-trump-woman-arrested-for-trespassing-at-donald-trumps-mar-a-lago-estate-claims-to-be-his-wife/articleshow/123989251.cms,World
38,'I didn't want him there': Trump explains why he snubbed London Mayor Sadiq Khan,TOI,https://timesofindia.indiatimes.com/world/us/i-didnt-want-him-there-trump-explains-why-he-snubbed-london-mayor-sadiq-khan-compares-him-to-gavin-newsom/articleshow/123989234.cms,World
39,Will US troops be sent back to Afghanistan? Donald Trump eyes Bagram airbase back; where does China fit in?,TOI,https://timesofindia.indiatimes.com/world/us/will-us-troops-be-sent-back-to-afghanistan-donald-trump-eyes-bagram-airbase-back-where-does-china-fit-in/articleshow/123989011.cms,World
40,Stock markets steady on SIP flows: Jefferies says mutual fund inflows preventing crash; stocks seen trading sideways,TOI,https://timesofindia.indiatimes.com/business/india-business/stock-markets-steady-on-sip-flows-jefferies-says-mutual-fund-inflows-preventing-crash-stocks-seen-trading-sideways/articleshow/123997252.cms,Business
41,New feature! EPFO launches 'Passbook Lite' - What types of benefits will members see?,TOI,https://timesofindia.indiatimes.com/business/financial-literacy/savings/new-feature-epfo-launches-passbook-lite-what-types-of-benefits-will-members-see/articleshow/123995216.cms,Business
42,"GST rate cut impact on exchequer likely minimal, to boost consumption and widen tax base: Crisil",TOI,https://timesofindia.indiatimes.com/business/india-business/gst-rate-cut-impact-on-exchequer-likely-minimal-to-boost-consumption-and-widen-tax-base-crisil/articleshow/123995719.cms,Business
43,"Trump pressure piles on: EU aims to quickly phase out Russia LNG imports; reluctant to hit India, China with tariffs",TOI,https://timesofindia.indiatimes.com/business/international-business/trump-pressure-piles-on-eu-aims-to-quickly-phase-out-russia-lng-imports-reluctant-to-hit-india-china-with-tariffs/articleshow/123994951.cms,Business
44,Placements 2026: IITs see strong early momentum; job offers set to rise,TOI,https://timesofindia.indiatimes.com/business/india-business/placements-2026-iits-see-strong-early-momentum-job-offers-set-to-rise/articleshow/123994704.cms,Business
45,‘Disappointed I came to Canada’: US envoy voices concern over 'anti-American' sentiment; defends Donald Trump’s tariff policy,TOI,https://timesofindia.indiatimes.com/business/international-business/disappointed-i-came-to-canada-us-envoy-voices-concern-over-anti-american-sentiment-defends-donald-trumps-tariff-policy/articleshow/123994049.cms,Business
46,Ahead of Trump-Xi call: US President says 'very close' to trade deal; claims 'relationship with China very good',TOI,https://timesofindia.indiatimes.com/business/international-business/ahead-of-trump-xi-call-us-president-says-very-close-to-trade-deal-claims-relationship-with-china-very-good/articleshow/123992851.cms,Business
47,Big blow! Trump revokes sanctions waiver - why is Iran’s Chabahar port important for India & what does US move mean?,TOI,https://timesofindia.indiatimes.com/business/india-business/big-blow-trump-revokes-sanctions-waiver-why-is-irans-chabahar-port-important-for-india-what-does-us-move-mean/articleshow/123992608.cms,Business
48,NFOs: Marketing hype or investment opportunity? Consider NFOs only if they fill a gap in your portfolio,TOI,https://timesofindia.indiatimes.com/business/financial-literacy/investing/nfos-marketing-hype-or-investment-opportunity-consider-nfos-only-if-they-fill-a-gap-in-your-portfolio/articleshow/123992777.cms,Business
49,Adani Power tops India's private thermal sector: Morgan Stanley report gives 'overweight' rating; earnings set to triple by 2033,TOI,https://timesofindia.indiatimes.com/business/india-business/adani-power-tops-indias-private-thermal-sector-morgan-stanley-report-gives-overweight-rating-earnings-set-to-triple-by-2033/articleshow/123991836.cms,Business
50,"Big trade boost: India, UAE aim to double bilateral non-oil, non-precious metal trade to $100 billion; what’s on the agenda",TOI,https://timesofindia.indiatimes.com/business/india-business/big-trade-boost-india-uae-aim-to-double-bilateral-non-oil-non-precious-metal-trade-to-100-billion-whats-on-the-agenda/articleshow/123991684.cms,Business
51,Unilever’s new CFO: Indian-origin Srinivas Phatak appointed - Who is he?,TOI,https://timesofindia.indiatimes.com/business/international-business/unilevers-new-cfo-indian-origin-srinivas-phatak-appointed-who-is-he/articleshow/123990988.cms,Business
52,Adani Group shares jump! Almost all stocks in green after Sebi clears Hindenburg claims; Adani Power up nearly 9%,TOI,https://timesofindia.indiatimes.com/business/india-business/adani-group-shares-jump-almost-all-stocks-in-green-after-sebi-clears-hindenburg-claims-adani-power-up-nearly-9/articleshow/123990103.cms,Business
53,'If they put sanctions on China ...': Trump asked about UK PM & Russian oil; terms tariffs on India a 'big step',TOI,https://timesofindia.indiatimes.com/business/international-business/if-they-put-sanctions-on-china-trump-asked-about-uk-pm-russian-oil-terms-tariffs-on-india-a-big-step/articleshow/123989722.cms,Business
54,"Gold price prediction: What's the outlook for September 19, 2025? Why a ‘buy on dips’ strategy makes sense",TOI,https://timesofindia.indiatimes.com/business/india-business/gold-price-prediction-today-what-is-the-gold-rate-outlook-for-september-19-2025-should-you-buy-or-sell-mcx-gold/articleshow/123988917.cms,Business
55,"Stock market today: Nifty50 ends below 25,350; BSE Sensex down over 380 points",TOI,https://timesofindia.indiatimes.com/business/india-business/stock-market-today-nifty50-bse-sensex-september-19-2025-dalal-street-indian-equities-global-markets-india-us-trade-deal-us-federal-reserve-gst-cuts/articleshow/123988838.cms,Business
56,"Top stocks to buy today: Stock recommendations for September 19, 2025 - check list",TOI,https://timesofindia.indiatimes.com/business/india-business/top-stock-recommendations-for-september-19-2025-bharat-electronics-rbl-bank-stocks-to-buy-today/articleshow/123988872.cms,Business
57,'India & China are ancient civilisations': Russia slams Trump tariffs; warns threat won't work,TOI,https://timesofindia.indiatimes.com/business/india-business/india-china-are-ancient-civilisations-russia-slams-trump-tariffs-warns-threat-wont-work/articleshow/123987825.cms,Business
58,'Feel pain for investors who lost money',TOI,https://timesofindia.indiatimes.com/business/india-business/feel-pain-for-investors-who-lost-money/articleshow/123984871.cms,Business
59,"Sebi gives clean chit to Adani, group on Hindenburg charges",TOI,https://timesofindia.indiatimes.com/business/india-business/sebi-gives-clean-chit-to-adani-group-on-hindenburg-charges/articleshow/123984859.cms,Business
60,Asia Cup: Already-qualified India look to bolster batting vs already-eliminated Oman,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/india-vs-oman-preview-head-to-head-venue-time-tv-channels-live-streaming/articleshow/123992827.cms,Sports
61,Timeline of Asia Cup handshake row: ICC pulls up PCB over PMOA violation,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/timeline-of-asia-cup-handshake-row-icc-pulls-up-pcb-over-pmoa-violation/articleshow/123993838.cms,Sports
62,Is it mandatory for players to shake hands after a cricket match? Former umpire clarifies,TOI,https://timesofindia.indiatimes.com/sports/cricket/news/is-it-mandatory-for-players-to-shake-hands-after-a-cricket-match/articleshow/123991973.cms,Sports
63,"Exclusive | Jaismine Lamboria's story: COVID, setbacks to World Champion!",TOI,https://timesofindia.indiatimes.com/sports/boxing/exclusive-covid-setbacks-self-doubt-jaismine-lamborias-story-from-mini-cuba-to-world-championships-gold/articleshow/123993383.cms,Sports
64,'Make sure you finish ahead of Pakistan's Nadeem': Coach to Sachin Yadav,TOI,https://timesofindia.indiatimes.com/sports/more-sports/athletics/make-sure-you-finish-ahead-of-pakistans-arshad-nadeem-how-sachin-yadav-stunned-world-with-86-27m-throw/articleshow/123995950.cms,Sports
65,Neeraj Chopra suffers worst finish since 2018: Here's how he fared in last seven years,TOI,https://timesofindia.indiatimes.com/sports/more-sports/athletics/neeraj-chopra-suffers-worst-finish-since-2018-heres-how-he-fared-in-last-seven-years/articleshow/123996209.cms,Sports
66,"From Kanpur to Oman: Vinayak Shukla — Data operator, idolises 'guru' MS Dhoni, and Kuldeep Yadav’s childhood friend",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/from-kanpur-to-oman-vinayak-shukla-data-operator-idolises-guru-ms-dhoni-and-kuldeep-yadavs-childhood-friend/articleshow/123989849.cms,Sports
67,When a taunt inspired Yuvraj Singh to hit six sixes in an over vs England,TOI,https://timesofindia.indiatimes.com/sports/cricket/news/when-a-taunt-inspired-yuvraj-singh-to-hit-six-sixes-in-an-over-vs-england/articleshow/123995186.cms,Sports
68,"The curious case of Kuldeep Yadav: Alone, yet India’s trump card",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/the-curious-case-of-kuldeep-yadav-alone-yet-indias-trump-card/articleshow/123987162.cms,Sports
69,'Sharam aur laaj ...': Shikhar Dhawan’s hilarious reel wins the internet – Watch,TOI,https://timesofindia.indiatimes.com/sports/off-the-field/sharam-aur-laaj-shikhar-dhawans-hilarious-reel-wins-the-internet-watch/articleshow/123993096.cms,Sports
70,"Asia Cup Super 4: When is Ind vs Pak? Full fixture, format and how to watch",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-2025-super-four-when-is-india-vs-pakistan-rematch-full-fixture-format-date-venue-and-how-to-watch/articleshow/123988115.cms,Sports
71,India pin hopes on Mandhana: Vice-captain's form fuels World Cup dream,TOI,https://timesofindia.indiatimes.com/sports/cricket/icc-womens-world-cup-2025/india-pin-hopes-on-smriti-mandhana-vice-captains-form-fuels-world-cup-dream/articleshow/123990327.cms,Sports
72,"Watch: Nabi shocked by Wellalage's father's death - 'Stay strong, brother'",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/watch-mohammad-nabi-shocked-by-dunith-wellalages-fathers-death-stay-strong-brother/articleshow/123989138.cms,Sports
73,Handshake row: Amir's post on Kohli stirs drama before IND vs PAK rematch,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-handshake-row-erupts-again-mohammad-amirs-viral-post-on-virat-kohli-stirs-drama-before-india-pakistan-rematch/articleshow/123987594.cms,Sports
74,Asia Cup heartbreak: Wellalage learns of father's death only after SL's win,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-heartbreak-dunith-wellalage-learns-of-fathers-death-only-after-sri-lankas-win-over-afghanistan/articleshow/123987242.cms,Sports
75,"Bjorn Borg's shocking revelations: Cocaine addiction, shame and cancer battle",TOI,https://timesofindia.indiatimes.com/sports/tennis/top-stories/bjorn-borgs-shocking-revelations-cocaine-addiction-shame-and-cancer-battle/articleshow/123988803.cms,Sports
76,UCL: Rashford double lifts Barcelona; Haaland hits 50 in Man City win,TOI,https://timesofindia.indiatimes.com/sports/football/top-stories/champions-league-rashford-double-lifts-barcelona-haaland-hits-50-in-man-city-win/articleshow/123988467.cms,Sports
77,Another twist! ICC sends a strong email to PCB over PMOA violations before UAE match,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/another-twist-in-handshake-drama-icc-sends-a-strong-email-to-pcb-over-pmoa-violations-before-uae-match/articleshow/123981965.cms,Sports
78,Handshake row: Ex-umpire blasts PCB's 'unnecessary drama' after India defeat,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-handshake-row-ex-umpire-anil-chaudhary-blasts-pcbs-unnecessary-drama-after-india-defeat/articleshow/123987827.cms,Sports
79,Watch: Pakistan manager visits injured umpire after freak on-field accident,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-pakistan-manager-visits-injured-umpire-after-freak-on-field-accident-in-uae-clash-watch/articleshow/123987399.cms,Sports
80,YSRCP uproar over privatisation of medical colleges forces Council adjournment for the day,Hindu,https://www.thehindu.com/news/national/andhra-pradesh/ysrcp-uproar-over-privatisation-of-medical-colleges-forces-council-adjournment-for-the-day/article70069545.ece,National
81,"Gujarat woman earns ₹1.94 crore from milk sales, aims for 3 crore",Hindu,https://www.thehindu.com/news/national/gujarat/gujarat-woman-earns-194-crore-from-milk-sales-aims-for-3-crore/article70065485.ece,National
82,"Hurriyat Conference Chairperson Mirwaiz Farooq claims house arrest, flays authorities",Hindu,https://www.thehindu.com/news/national/jammu-and-kashmir/hurriyat-conference-chairperson-mirwaiz-farooq-claims-house-arrest-flays-authorities/article70069573.ece,National
83,Vasan urges reinstallation of Gandhi statue at Tiruttani market,Hindu,https://www.thehindu.com/news/national/tamil-nadu/vasan-urges-reinstallation-of-gandhi-statue-at-tiruttani-market/article70069441.ece,National
84,A.P. liquor scam: SIT questions MP Midhun Reddy on day one,Hindu,https://www.thehindu.com/news/national/andhra-pradesh/ap-liquor-scam-sit-questions-mp-midhun-reddy-on-day-one/article70069501.ece,National
85,Complete TIMS Sanathnagar works by October end: Telangana Health Minister,Hindu,https://www.thehindu.com/news/cities/Hyderabad/complete-tims-sanathnagar-works-by-october-end-telangana-health-minister/article70069499.ece,National
86,Seminar-cum-awareness campaign on cocoa cultivation,Hindu,https://www.thehindu.com/news/national/kerala/seminar-cum-awareness-campaign-on-cocoa-cultivation/article70069451.ece,National
87,Rahul Gandhi speaks like an 'urban Maoist': CM Fadnavis on his Gen Z post,Hindu,https://www.thehindu.com/news/national/maharashtra/rahul-gandhi-speaks-like-an-urban-maoist-cm-fadnavis-on-his-gen-z-post/article70069578.ece,National
88,Did KCR make MLAs from other parties who joined BRS resign?: Kadiyam Srihari,Hindu,https://www.thehindu.com/news/national/telangana/did-kcr-make-mlas-from-other-parties-who-joined-brs-resign-kadiyam-srihari/article70069465.ece,National
89,"What India’s rich spends on? New wealth report shows Mercedes-Benz, Rolex, Tanishq and more",Hindu,https://www.thehindu.com/business/mercedes-benz-hurun-india-wealth-report-2025-rolex-tanishq-affluent-spends/article70069404.ece,National
90,Thuravoor taluk hospital’s six-storey building enters final phase of construction,Hindu,https://www.thehindu.com/news/national/kerala/thuravoor-taluk-hospitals-six-storey-building-enters-final-phase-of-construction/article70069460.ece,National
91,Sharad Pawar calls Maharashtra CM Fadnavis to disapprove of BJP MLA's remarks about NCP (SP) leader Jayant Patil,Hindu,https://www.thehindu.com/news/national/maharashtra/sharad-pawar-calls-maharashtra-cm-fadnavis-to-disapprove-of-bjp-mlas-remarks-about-ncp-sp-leader-jayant-patil/article70069267.ece,National
92,Anti-drug rally in Kannur draws huge crowd,Hindu,https://www.thehindu.com/news/national/kerala/anti-drug-rally-in-kannur-draws-huge-crowd/article70069343.ece,National
93,Congress didn't act tough against Pakistan even after 26/11 due to its undying love for that country: BJP,Hindu,https://www.thehindu.com/news/national/congress-didnt-act-tough-against-pakistan-even-after-2611-due-to-its-undying-love-for-that-country-bjp/article70069440.ece,National
94,Maratha quota: Vijay Wadettiwar alleges Maharashtra GR harms interests of OBCs,Hindu,https://www.thehindu.com/news/national/maharashtra/maratha-quota-vijay-wadettiwar-alleges-maharashtra-gr-harms-interests-of-obcs/article70069399.ece,National
95,Scattered showers to continue over T.N. until September 21,Hindu,https://www.thehindu.com/news/national/tamil-nadu/scattered-showers-to-continue-over-tn-until-september-21/article70069395.ece,National
96,Two from India win 2025 Ig Nobel prize for engineering design,Hindu,https://www.thehindu.com/sci-tech/science/two-from-india-win-2025-ig-nobel-prize-for-engineering-design/article70069471.ece,National
97,Congress leader Ramesh Chennithala accuses Kerala CM of misleading Assembly on police dismissals,Hindu,https://www.thehindu.com/news/national/kerala/congress-leader-ramesh-chennithala-accuses-kerala-cm-of-misleading-assembly-on-police-dismissals/article70069315.ece,National
98,Election Commission of India de-lists 474 more registered unrecognised parties for flouting norms,Hindu,https://www.thehindu.com/news/national/election-commission-of-india-de-lists-474-more-registered-unrecognised-parties-for-flouting-norms/article70069434.ece,National
99,Assam's popular singer Zubeen Garg dies while scuba diving in Singapore,Hindu,https://www.thehindu.com/entertainment/music/assams-popular-singer-zubeen-garg-dies-while-scuba-diving-in-singapore/article70069446.ece,National
100,Karnataka socio-economic survey: High Court orders notice to State and Central governments on PIL petitions challenging legality,Hindu,https://www.thehindu.com/news/national/karnataka/high-court-orders-notice-to-state-and-central-governments-on-pil-petitions-challenging-socio-economic-and-educational-survey-in-karnataka/article70069396.ece,National
101,"Pahalgam attack: Special court extends period of probe, accused's custody",Hindu,https://www.thehindu.com/news/national/pahalgam-attack-special-court-extends-period-of-probe-accuseds-custody/article70069329.ece,National
102,Allahabad HC grants bail to Mukhtar Ansari's son in forgery case,Hindu,https://www.thehindu.com/news/national/uttar-pradesh/allahabad-hc-grants-bail-to-mukhtar-ansaris-son-in-forgery-case/article70069379.ece,National
103,"Rahul Gandhi systematically, deliberately trying to weaken democracy, says Ravi Shankar Prasad",Hindu,https://www.thehindu.com/news/national/rahul-gandhi-systematically-deliberately-trying-to-weaken-democracy-says-ravi-shankar-prasad/article70069333.ece,National
104,"CM Revanth makes strong pitch for investments in Telangana emphasizing safety, skill and infra development",Hindu,https://www.thehindu.com/news/national/telangana/cm-revanth-makes-strong-pitch-for-investments-in-telangana-emphasizing-safety-skill-and-infra-development/article70069309.ece,National
105,Industrial Park likely to come up in the land allocated to Reliance Group in Nellore,Hindu,https://www.thehindu.com/news/national/andhra-pradesh/industrial-park-likely-to-come-up-in-the-land-allocated-to-reliance-group-in-nellore/article70069257.ece,National
106,K.C. Venugopal flays Kerala govt for ‘politicising’ Lord Ayyappa,Hindu,https://www.thehindu.com/news/national/kerala/kc-venugopal-flays-kerala-govt-for-politicising-lord-ayyappa/article70069273.ece,National
107,Continued need to probe ‘Modani Scam’ in all dimensions: Congress on SEBI clean chit to Adani,Hindu,https://www.thehindu.com/news/national/continued-need-to-probe-modani-scam-in-all-dimensions-congress-on-sebi-clean-chit-to-adani/article70069271.ece,National
108,ECI and CEO Karnataka trying to mislead people on Aland probe: Priyank Kharge,Hindu,https://www.thehindu.com/news/national/karnataka/eci-and-ceo-karnataka-trying-to-mislead-people-on-aland-probe-priyank-kharge/article70069244.ece,National
109,Malla Jagadiswara Rao to represent BMS at international conference in Colombo,Hindu,https://www.thehindu.com/news/cities/Visakhapatnam/malla-jagadiswara-rao-to-represent-bms-at-international-conference-in-colombo/article70068981.ece,National
110,Kerala Assembly flags perils of using ‘paper cups’ as substitute for plastic food containers,Hindu,https://www.thehindu.com/news/national/kerala/kerala-assembly-flags-perils-of-using-paper-cups-as-substitute-for-plastic-food-containers/article70069234.ece,National
111,India showed how strong our retaliation can be: Rajnath Singh on Operation Sindoor,Hindu,https://www.thehindu.com/news/national/defence-minsiter-rajnath-singh-interacts-with-war-veterans-of-1965/article70069205.ece,National
112,Another Bengaluru school vehicle gets stuck on Balagere-Panathur road,Hindu,https://www.thehindu.com/news/cities/bangalore/another-school-vehicle-gets-stuck-on-balagere-panathur-road-in-bengaluru/article70069051.ece,National
