S.No,Headline,Source,Link,Category
19,Army distributes wheelchairs in Jammu,TOI,https://timesofindia.indiatimes.com/india/army-distributes-wheelchairs-in-jammu/articleshow/124200171.cms,India
20,Search operation launched after suspected Pakistan drone spotted in J&K’s Samba,TOI,https://timesofindia.indiatimes.com/india/search-operation-launched-after-suspected-pakistan-drone-spotted-in-jks-samba/articleshow/124200116.cms,India
21,"Michigan church shooting: 4 killed, several injured as gunman opens fire on worshippers",TOI,https://timesofindia.indiatimes.com/world/us/michigan-church-shooting-2-killed-8-injured-as-gunman-opens-fire-on-worshippers-what-we-know-so-far/articleshow/124202683.cms,World
22,"Denmark claims drone sightings, Nato vigilance up",TOI,https://timesofindia.indiatimes.com/world/europe/denmark-claims-drone-sightings-nato-vigilance-up/articleshow/124202746.cms,World
23,Trump to meet Congress leaders to avert shutdown,TOI,https://timesofindia.indiatimes.com/world/us/trump-to-meet-congress-leaders-to-avert-shutdown/articleshow/124202730.cms,World
24,"Lost contact with 2 hostages: Hamas; 77 killed in 24 hrs, says Gaza ministry",TOI,https://timesofindia.indiatimes.com/world/middle-east/lost-contact-with-2-hostages-hamas-77-killed-in-24-hrs-says-gaza-ministry/articleshow/124202701.cms,World
25,Moldovans vote in a tense election amid claims of Russian interference,TOI,https://timesofindia.indiatimes.com/world/europe/moldovans-vote-in-a-tense-election-amid-claims-of-russian-interference/articleshow/124202680.cms,World
26,"UN arms embargo, other sanctions reimposed on Iran over its N-plans",TOI,https://timesofindia.indiatimes.com/world/middle-east/un-arms-embargo-other-sanctions-reimposed-on-iran-over-its-n-plans/articleshow/124202665.cms,World
27,Nepal probe panel recommends seizing passports of Oli and 4 others,TOI,https://timesofindia.indiatimes.com/world/south-asia/nepal-probe-panel-recommends-seizing-passports-of-oli-and-4-others/articleshow/124202625.cms,World
28,Former Chinese agriculture minister is sentenced to death for graft,TOI,https://timesofindia.indiatimes.com/world/china/former-chinese-agriculture-minister-is-sentenced-to-death-for-graft/articleshow/124202598.cms,World
29,Mansi Kasliwal becomes 1st woman to head Caltech's Palomar Observatory,TOI,https://timesofindia.indiatimes.com/world/us/mansi-kasliwal-becomes-1st-woman-to-head-caltechs-palomar-observatory/articleshow/124202580.cms,World
30,World's highest bridge opens to traffic in China,TOI,https://timesofindia.indiatimes.com/world/china/worlds-highest-bridge-opens-to-traffic-in-china/articleshow/124202531.cms,World
31,'Best Oval Office ever': Donald Trump hails 24-Karat gold revamp; boasts foreign leaders 'freak out' by its grandeur,TOI,https://timesofindia.indiatimes.com/world/us/best-oval-office-ever-donald-trump-hails-24-karat-gold-revamp-boasts-foreign-leaders-freak-out-by-its-grandeur/articleshow/124202348.cms,World
32,Who was Thomas Jacob Sanford? US marine veteran who opened fire at Michigan church,TOI,https://timesofindia.indiatimes.com/world/us/who-was-thomas-jacob-sanford-us-marine-veteran-who-opened-fire-at-michigan-church/articleshow/124200936.cms,World
33,‘Bibi wants the deal too’: Donald Trump says Gaza plan well-received; cites all parties ‘tired of war’,TOI,https://timesofindia.indiatimes.com/world/us/bibi-wants-the-deal-too-donald-trump-says-gaza-plan-well-received-cites-all-parties-tired-of-war/articleshow/124200385.cms,World
34,"‘List of words to avoid’: US energy department bans use of ‘climate change’, ‘green’ in official communications; cites administrative priorities",TOI,https://timesofindia.indiatimes.com/world/us/list-of-words-to-avoid-us-energy-department-bans-use-of-climate-change-green-in-official-communications-cites-administrative-priorities/articleshow/124200283.cms,World
35,‘Remarkable life’: Donald Trump pays tribute to LDS church president Russell M Nelson,TOI,https://timesofindia.indiatimes.com/world/us/remarkable-life-donald-trump-pays-tribute-to-lds-church-president-russell-m-nelson/articleshow/124199987.cms,World
36,UAE: Dubai Police adds three new luxury Mercedes-Benz patrol cars to their supercar fleet,TOI,https://timesofindia.indiatimes.com/world/middle-east/dubai-police-adds-three-new-luxury-mercedes-benz-patrol-cars-to-their-supercar-fleet/articleshow/124198173.cms,World
37,Mayoral shake-up: NYC mayor Eric Adams ends reelection bid; clears way for three-way race,TOI,https://timesofindia.indiatimes.com/world/us/mayoral-shake-up-nyc-mayor-eric-adams-ends-reelection-bid-clears-way-for-three-way-race/articleshow/124199169.cms,World
38,‘Will be expanded’: Netanyahu says Gaza strikes will not threaten Abraham Accords; addresses Trump’s 21-point Gaza peace plan,TOI,https://timesofindia.indiatimes.com/world/middle-east/will-be-expanded-benjamin-netanyahu-says-gaza-strikes-will-not-threaten-abraham-accords-addresses-trumps-21-point-gaza-peace-plan/articleshow/124198580.cms,World
39,Who is Nigel Max Edge? Suspect identified and charged in North Carolina shooting; once accompanied ‘American Idol’ star to event,TOI,https://timesofindia.indiatimes.com/world/us/who-is-nigel-max-edge-suspect-identified-and-charged-in-north-carolina-shooting-once-accompanied-american-idol-star-to-event/articleshow/124197653.cms,World
40,"‘Unwanted, unneeded, un-American’: Portland leaders slam Trump’s threatened troop deployment; issue open letter",TOI,https://timesofindia.indiatimes.com/world/us/unwanted-unneeded-un-american-portland-leaders-slam-trumps-threatened-troop-deployment-issue-open-letter/articleshow/124197210.cms,World
41,Stocks to buy: What's the outlook for Nifty for week starting September 29? Check list of top stock recommendations,TOI,https://timesofindia.indiatimes.com/business/india-business/top-stocks-to-buy-this-week-september-29-to-october-03-stock-recommendations-larsen-toubro-ashok-leyland/articleshow/124198013.cms,Business
42,JLR gets UK govt's guarantee for $2 billion loan after cyber hit,TOI,https://timesofindia.indiatimes.com/business/international-business/jlr-gets-uk-govts-guarantee-for-2-billion-loan-after-cyber-hit/articleshow/124202460.cms,Business
43,ET NOW to launch two programmes,TOI,https://timesofindia.indiatimes.com/business/india-business/et-now-to-launch-two-programmes/articleshow/124202443.cms,Business
44,"RBI cracks down on 'buy now, pay later'",TOI,https://timesofindia.indiatimes.com/business/india-business/rbi-cracks-down-on-buy-now-pay-later/articleshow/124202397.cms,Business
45,RBI's next move? Panel likely to hold rates steady this week,TOI,https://timesofindia.indiatimes.com/business/india-business/rbis-next-move-panel-likely-to-hold-rates-steady-this-week/articleshow/124202388.cms,Business
46,"Dalal Street eyes comeback after 6-day slide, FPIs hold key",TOI,https://timesofindia.indiatimes.com/business/india-business/dalal-street-eyes-comeback-after-6-day-slide-fpis-hold-key/articleshow/124202359.cms,Business
47,Financial sector : DFS & Supreme Court panel conduct mediation training for DRT officers; dispute resolution skills on priority,TOI,https://timesofindia.indiatimes.com/business/india-business/financial-sector-dfs-supreme-court-panel-conduct-mediation-training-for-drt-officers-dispute-resolution-skills-on-priority/articleshow/124198387.cms,Business
48,PM E-DRIVE scheme: Govt issues new guidelines for EV charging stations; rollout to cover cities and highways,TOI,https://timesofindia.indiatimes.com/business/india-business/pm-e-drive-scheme-govt-issues-new-guidelines-for-ev-charging-stations-rollout-to-cover-cities-and-highways/articleshow/124197543.cms,Business
49,"Logistics expansion: India emerges as top choice for APAC 3PL firms; sector driven by tech, e-commerce growth",TOI,https://timesofindia.indiatimes.com/business/india-business/logistics-expansion-india-emerges-as-top-choice-for-apac-3pl-firms-sector-driven-by-tech-e-commerce-growth/articleshow/124197001.cms,Business
50,Tariff war: Lutnick says India and Brazil need to be 'fixed',TOI,https://timesofindia.indiatimes.com/business/india-business/tariff-war-lutnick-says-india-and-brazil-need-to-be-fixed/articleshow/124196222.cms,Business
51,"Food processing push: Global, domestic firms may invest Rs 1.02 lakh crore; job creation in focus",TOI,https://timesofindia.indiatimes.com/business/india-business/food-processing-push-global-domestic-firms-may-invest-rs-1-02-lakh-crore-job-creation-in-focus/articleshow/124196232.cms,Business
52,Trump’s H-1B visa move: End of the road Indians' American dream? How fee hike may help India retain talent,TOI,https://timesofindia.indiatimes.com/business/india-business/trumps-h-1b-visa-move-end-of-the-road-for-american-dream-for-indians-how-fee-hike-may-help-india-retain-talent/articleshow/124194628.cms,Business
53,Valuation watch: Top-10 most valued firms' market cap drops by Rs 2.99 lakh crore; TCS emerges as the biggest hit on H1-B visa fees hike,TOI,https://timesofindia.indiatimes.com/business/india-business/valuation-watch-top-10-most-valued-firms-market-cap-drops-by-rs-2-99-lakh-crore-tcs-emerges-as-the-biggest-hit-on-h1-b-visa-fees-hike/articleshow/124195744.cms,Business
54,"Stock market outlook: Investors to track RBI policy and US tariffs; FII flows, rupee weakness to influence trend in holiday-shortened week",TOI,https://timesofindia.indiatimes.com/business/india-business/stock-market-outlook-investors-to-track-rbi-policy-and-us-tariffs-fii-flows-rupee-weakness-to-influence-trend-in-holiday-shortened-week/articleshow/124194763.cms,Business
55,'India has self-respect': Russia on Delhi's response over US oil pressure; 'no threat' to ties,TOI,https://timesofindia.indiatimes.com/business/india-business/india-has-self-respect-russia-on-delhis-response-over-us-oil-pressure-no-threat-to-ties/articleshow/124193511.cms,Business
56,RBI rate cut: SBI sees 25 bps easing as best option; why experts prefer status quo,TOI,https://timesofindia.indiatimes.com/business/india-business/rbi-rate-cut-sbi-sees-25-bps-easing-as-best-option-why-experts-prefer-status-quo/articleshow/124194206.cms,Business
57,"Gold rate outlook: Bullion rally may stretch this week; US jobs data, festive demand in focus; analysts warn of profit-taking",TOI,https://timesofindia.indiatimes.com/business/india-business/gold-rate-outlook-bullion-rally-may-stretch-this-week-us-jobs-data-festive-demand-in-focus-analysts-warn-of-profit-taking/articleshow/124193640.cms,Business
58,'Snapback' over nuclear programme: What sanctions will be reimposed on Iran? Here's all you need to know,TOI,https://timesofindia.indiatimes.com/business/international-business/snapback-over-nuclear-programme-what-sanctions-will-be-reimposed-on-iran-heres-all-you-need-to-know/articleshow/124190771.cms,Business
59,'We need to fix India': Howard Lutnick urges New Delhi to 'play ball' with Trump; 'avoid policies that harm US',TOI,https://timesofindia.indiatimes.com/business/india-business/we-need-to-fix-india-howard-lutnick-urges-new-delhi-to-play-ball-with-trump-avoid-policies-that-harm-us/articleshow/124192376.cms,Business
60,"'Maruti moment': India aims Rs 70,000 crore package for domestic shipbuilding; reduce reliance on foreign vessels",TOI,https://timesofindia.indiatimes.com/business/international-business/maruti-moment-india-aims-rs-70000-crore-package-for-domestic-shipbuilding-reduce-reliance-on-foreign-vessels/articleshow/124191422.cms,Business
61,The one-hour drama at Dubai: Inside details of how PCB chief Mohsin Naqvi ran away with Asia Cup trophy after India vs Pakistan final,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/the-one-hour-drama-at-dubai-inside-details-of-how-pcb-chief-mohsin-naqvi-ran-away-with-asia-cup-trophy-after-india-vs-pakistan-final/articleshow/124202453.cms,Sports
62,PAK captain Salman Agha claims Suryakumar 'shook hands' with him; slams India,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/pakistan-captain-salman-ali-agha-claims-suryakumar-yadav-shook-hands-with-him-in-private-slams-india-for-disrespecting-cricket/articleshow/124202737.cms,Sports
63,"SKY lashes out at ACC for withholding Asia Cup trophy, donates match fees to Indian armed forces",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/suryakumar-yadav-lashes-out-at-acc-for-withholding-asia-cup-trophy-donates-match-fees-to-indian-armed-forces/articleshow/124202472.cms,Sports
64,BCCI's strong warning to PCB after Asia Cup trophy drama: 'Very unsporting',TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/bcci-sends-strong-warning-to-pcb-after-asia-cup-2025-trophy-drama-in-dubai/articleshow/124202456.cms,Sports
65,Suryakumar Yadav recreates Rohit Sharma's iconic celebration... but without the trophy,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/suryakumar-yadav-recreates-rohit-sharmas-iconic-celebration-but-without-the-trophy/articleshow/124202696.cms,Sports
66,Owned him! India cricketers brutally troll PAK spinner Abrar Ahmed - watch,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/owned-him-india-cricketers-brutally-troll-pakistan-spinner-abrar-ahmed-watch/articleshow/124202639.cms,Sports
67,"Abhishek hails Gambhir and SKY for confidence boost, jabs ACC over trophy snub",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/abhishek-sharma-hails-gautam-gambhir-and-suryakumar-yadav-for-confidence-boost-jabs-acc-over-trophy-snub/articleshow/124202480.cms,Sports
68,A new low in Dubai as Pakistan captain Salman Agha throws his cheque in anger,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/a-new-low-in-dubai-as-pakistan-captain-salman-agha-throws-his-cheque-in-anger/articleshow/124202611.cms,Sports
69,Ugly scenes in Dubai as PCB chief runs away with Asia Cup trophy,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/ugly-scenes-in-dubai-as-pcb-chief-runs-away-with-asia-cup-trophy/articleshow/124200279.cms,Sports
70,"Asia Cup final: Gritty Tilak, crafty Kuldeep hand India another win over Pakistan",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-final-gritty-tilak-varma-and-crafty-kuldeep-yadav-hand-india-another-win-over-pakistan/articleshow/124199298.cms,Sports
71,Rs 21 crore bonanza! BCCI rewards Team India after record 9th Asia Cup win,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/rs-21-crore-bonanza-bcci-rewards-team-india-after-record-9th-asia-cup-win/articleshow/124200223.cms,Sports
72,Wild scenes as India beat Pakistan for third time; win 9th Asia Cup title - Watch,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/wild-scenes-as-india-beat-pakistan-for-third-time-win-9th-asia-cup-title-watch/articleshow/124199841.cms,Sports
73,"Watch: Gambhir goes crazy, bangs table during IND vs PAK Asia Cup final",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/watch-gautam-gambhir-goes-crazy-bangs-table-during-ind-vs-pak-asia-cup-final/articleshow/124199280.cms,Sports
74,Bumrah gives Rauf a taste of his jet celebration - Watch,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/jasprit-bumrah-gives-haris-rauf-a-taste-of-his-own-medicine-with-iconic-jet-celebration-video-inside/articleshow/124197039.cms,Sports
75,Suryakumar's horror run continues: India captain fails again in Asia Cup,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/suryakumar-yadavs-horror-run-continues-india-t20i-captain-fails-again-in-asia-cup-2025-final/articleshow/124199115.cms,Sports
76,Out or not out? Another controversy erupts as SKY is given out in final,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/out-or-not-out-another-controversy-erupts-as-suryakumar-yadav-is-given-out-in-asia-cup-2025-final/articleshow/124198089.cms,Sports
77,More drama! Faheem gives Abhishek aggressive send-off in the final,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/more-drama-faheem-ashraf-gives-abhishek-sharma-aggressive-send-off-in-asia-cup-2025-final/articleshow/124197684.cms,Sports
78,"Kuldeep Yadav sparks Pakistan collapse, equals massive T20I record",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/asia-cup-final-kuldeep-yadav-sparks-pakistan-collapse-equals-massive-t20i-record/articleshow/124198577.cms,Sports
79,India captain SKY faces heat from Akram for 'unnecessary' call,TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/india-captain-suryakumar-yadav-faces-heat-from-pakistan-legend-wasim-akram-for-unnecessary-call/articleshow/124197507.cms,Sports
80,"33 runs, 9 wickets: How Pakistan collapsed dramatically against India",TOI,https://timesofindia.indiatimes.com/sports/cricket/asia-cup/33-runs-9-wickets-how-pakistan-collapsed-dramatically-against-india-in-asia-cup-final/articleshow/124197159.cms,Sports
81,"Morning Digest: Asia Cup trophy not awarded to India as team refuses to accept it from Mohsin Naqvi; 2 civilians killed in Ladakh protests cremated amid curfew, and more",Hindu,https://www.thehindu.com/news/national/morning-digest-asia-cup-trophy-not-awarded-to-india-as-team-refuses-to-accept-it-from-mohsin-naqvi-2-civilians-killed-in-ladakh-protests-cremated-amid-curfew-and-more/article70106741.ece,National
82,Key initiatives honoured with M.S. Swaminathan Award for Environmental Protection,Hindu,https://www.thehindu.com/news/national/tamil-nadu/key-initiatives-honoured-with-ms-swaminathan-award-for-environmental-protection/article70105332.ece,National
83,Fire breaks out at Tiruvannamalai GH,Hindu,https://www.thehindu.com/news/national/tamil-nadu/fire-breaks-out-at-tiruvannamalai-gh/article70106229.ece,National
84,"92% UGD work completed in Vellore, says Corporation Commissioner",Hindu,https://www.thehindu.com/news/national/tamil-nadu/92-ugd-work-completed-in-vellore-says-corporation-commissioner/article70105641.ece,National
85,CMC organises cookery competition in Vellore to mark World Diabetes Day,Hindu,https://www.thehindu.com/news/national/tamil-nadu/cmc-organises-cookery-competition-in-vellore-to-mark-world-diabetes-day/article70105654.ece,National
86,Will donate my Asia Cup match fee to Armed Forces and Pahalgam victims: Suryakumar Yadav,Hindu,https://www.thehindu.com/sport/cricket/suryakumar-yadav-asia-cup-trophy-match-fees/article70107194.ece,National
87,7-year-old Class 2 student hung upside down by school bus driver in Panipat over ‘misbehaviour’; FIR filed,Hindu,https://www.thehindu.com/news/national/haryana/7-year-old-hung-upside-down-by-school-bus-driver-in-panipat-over-misbehaviour-fir-filed/article70105952.ece,National
88,Tea garden workers protest over bonus; management releases first instalment,Hindu,https://www.thehindu.com/news/national/west-bengal/tea-garden-workers-protest-over-bonus-management-releases-first-instalment/article70105486.ece,National
89,PM Modi meets Vice President Radhakrishnan,Hindu,https://www.thehindu.com/news/national/pm-modi-meets-vice-president-radhakrishnan/article70106410.ece,National
90,"Government aims to integrate Ayurveda into health education curriculum in schools, colleges: Minister",Hindu,https://www.thehindu.com/sci-tech/health/government-aims-to-integrate-ayurveda-into-health-education-curriculum-in-schools-colleges-minister/article70105509.ece,National
91,BCCI to lodge protest against Naqvi after Asia Cup trophy presentation fiasco,Hindu,https://www.thehindu.com/sport/cricket/bcci-to-lodge-protest-against-naqvi-after-asia-cup-trophy-presentation-fiasco/article70106715.ece,National
92,Durga Puja revellers flock early to pandals in West Bengal fearing rain,Hindu,https://www.thehindu.com/news/cities/kolkata/durga-puja-revellers-flock-early-to-pandals-in-wb-fearing-rain/article70106139.ece,National
93,There is still room for talks with Maoists: Chhattisgarh CM Vishnu Deo Sai,Hindu,https://www.thehindu.com/news/national/chhattisgarh/there-is-still-room-for-talks-with-maoists-chhattisgarh-cm-vishnu-deo-sai/article70102299.ece,National
94,The return of a diminished Azam Khan,Hindu,https://www.thehindu.com/opinion/op-ed/the-return-of-a-diminished-azam-khan/article70104590.ece,National
95,Asia Cup trophy not awarded to champions India after they refuse to accept it from ACC chief Mohsin Naqvi,Hindu,https://www.thehindu.com/sport/cricket/asia-cup-trophy-not-awarded-to-champions-india-after-they-refuse-to-accept-it-from-acc-chief-mohsin-naqvi/article70106569.ece,National
96,Haryana police personnel sustain injuries as mob attacks them during raid in Nuh; 13 held,Hindu,https://www.thehindu.com/news/national/haryana/haryana-police-personnel-sustain-injuries-as-mob-attacks-them-during-raid-in-nuh-13-held/article70105745.ece,National
97,Concern over rise in accidents on newly built NH 66 stretch,Hindu,https://www.thehindu.com/news/national/kerala/concern-over-rise-in-accidents-on-newly-built-nh-66-stretch/article70105951.ece,National
98,"Kochi rapidly emerging as hub for mule accounts used in cybercrimes, say police",Hindu,https://www.thehindu.com/news/national/kerala/kochi-rapidly-emerging-as-hub-for-mule-accounts-used-in-cybercrimes-say-police/article70105846.ece,National
99,HC constitutes high-level study group to examine sewerage network in Kochi,Hindu,https://www.thehindu.com/news/national/kerala/hc-constitutes-high-level-study-group-to-examine-sewerage-network-in-kochi/article70105940.ece,National
100,"Operation Sindoor on games field, India wins: PM Modi on Asia Cup final",Hindu,https://www.thehindu.com/news/national/operation-sindoor-on-games-field-india-wins-pm-modi-on-asia-cup-final/article70106539.ece,National
101,A horrific night reporting a stampede at Karur,Hindu,https://www.thehindu.com/news/national/tamil-nadu/a-horrific-night-reporting-a-stampede-at-karur/article70105849.ece,National
102,Hyderabad erupts in celebration after India’s triumph over Pakistan in Asia Cup,Hindu,https://www.thehindu.com/news/cities/Hyderabad/hyderabad-erupts-in-celebration-after-indias-triumph-over-pakistan-in-asia-cup/article70106478.ece,National
103,UGC makes registration on new Study In India portal mandatory for all foreign students,Hindu,https://www.thehindu.com/news/national/karnataka/ugc-makes-registration-on-new-study-in-india-portal-mandatory-for-all-foreign-students/article70105143.ece,National
104,Satheesan urges Centre to intervene in Air India Express service cuts,Hindu,https://www.thehindu.com/news/national/kerala/satheesan-urges-centre-to-intervene-in-air-india-express-service-cuts/article70106427.ece,National
105,"Government raising awareness on early diagnosis for heart conditions, says Minister",Hindu,https://www.thehindu.com/news/national/andhra-pradesh/government-raising-awareness-on-early-diagnosis-for-heart-conditions-says-minister/article70105844.ece,National
106,Mattanchery police nab Maharashtra man for alleged role in ₹2.8cr. ‘virtual arrest’ scam,Hindu,https://www.thehindu.com/news/national/kerala/mattanchery-police-nab-maharashtra-man-for-alleged-role-in-28cr-virtual-arrest-scam/article70106092.ece,National
107,"RJD, Congress to give up seats in favour of allies in Bihar",Hindu,https://www.thehindu.com/elections/bihar-assembly/congress-rjd-to-cut-down-its-tally-by-at-least-a-dozen-seats-to-accommodate-allies/article70105230.ece,National
108,"Heavy rush in Vijayawada on eve of Moola Nakshatram day, traffic diversions in place",Hindu,https://www.thehindu.com/news/national/andhra-pradesh/heavy-rush-in-vijayawada-on-eve-of-moola-nakshatram-day-traffic-diversions-in-place/article70105651.ece,National
109,"Faith-driven hunt threatens survival of Telangana’s State bird, Palapitta",Hindu,https://www.thehindu.com/news/national/telangana/faith-driven-hunt-threatens-survival-of-telanganas-state-bird-palapitta/article70105508.ece,National
110,KVPS slams government for ‘humiliating’ Legislative Council Chairman,Hindu,https://www.thehindu.com/news/national/andhra-pradesh/kvps-slams-government-for-humiliating-legislative-council-chairman/article70106233.ece,National
111,Deepavali discount sale begins at Co-optex showroom in Villupuram,Hindu,https://www.thehindu.com/news/national/tamil-nadu/deepavali-discount-sale-begins-at-co-optex-showroom-in-villupuram/article70105223.ece,National
112,"Krishna floods: Officials close bathing ghats, stop devotees from taking bath in river",Hindu,https://www.thehindu.com/news/national/andhra-pradesh/krishna-floods-officials-close-bathing-ghats-stop-devotees-from-taking-bath-in-river/article70106108.ece,National
113,"LPG consumers can change their suppliers, companies soon",Hindu,https://www.thehindu.com/news/national/lpg-consumers-can-change-their-suppliers-companies-soon/article70105625.ece,National
114,The Hindu and Andhra Hospitals to conduct awareness programme today on heart health,Hindu,https://www.thehindu.com/news/national/andhra-pradesh/the-hindu-and-andhra-hospitals-to-conduct-awareness-programme-today-on-heart-health/article70106188.ece,National
115,600 treated at free eye camp,Hindu,https://www.thehindu.com/news/national/andhra-pradesh/600-treated-at-free-eye-camp/article70106200.ece,National
116,Former IAS officer opposes government’s decision of PPP model for medical colleges,Hindu,https://www.thehindu.com/news/national/andhra-pradesh/former-ias-officer-opposes-governments-decision-of-ppp-model-for-medical-colleges/article70106183.ece,National
117,WRD begins restoration of Thalavanur anicut across Thenpennai River,Hindu,https://www.thehindu.com/news/national/tamil-nadu/wrd-begins-restoration-of-thalavanur-anicut-across-thenpennai-river/article70105199.ece,National
118,Dharmendra Pradhan calls on CM Nitish in Patna,Hindu,https://www.thehindu.com/news/national/bihar/dharmendra-pradhan-calls-on-cm-nitish-in-patna/article70105488.ece,National
119,"At UNGA week, India signals realignment with the Global South",Hindu,https://www.thehindu.com/news/national/at-unga-week-india-signals-realignment-with-the-global-south/article70106158.ece,National
120,PSI suspended for releasing suspect without inquiry,Hindu,https://www.thehindu.com/news/national/karnataka/psi-suspended-for-releasing-suspect-without-inquiry/article70105310.ece,National
121,CM Revanth Reddy vows rehabilitation of residents in Musi river catchment areas,Hindu,https://www.thehindu.com/news/national/telangana/cm-revanth-reddy-vows-rehabilitation-of-residents-in-musi-river-catchment-areas/article70106067.ece,National
122,BJP leaders to tour flood-hit districts in Karnataka in two teams,Hindu,https://www.thehindu.com/news/national/karnataka/bjp-leaders-to-tour-flood-hit-districts-in-karnataka-in-two-teams/article70105865.ece,National
123,"Ensure safety of flood-affected people, Kalaburagi officials told",Hindu,https://www.thehindu.com/news/national/karnataka/ensure-safety-of-flood-affected-people-kalaburagi-officials-told/article70105872.ece,National
124,Water and adventure sports facility inaugurated in Hubballi,Hindu,https://www.thehindu.com/news/national/karnataka/water-and-adventure-sports-inaugurated-in-hubballi/article70105767.ece,National
125,"No ceasefire, Maoists must give up arms, says Amit Shah",Hindu,https://www.thehindu.com/news/national/no-ceasefire-maoists-must-give-up-arms-says-amit-shah/article70106145.ece,National
